country,iso_code,year,region,income_group,crop,area_harvested_ha,production_tonnes,yield_kg_ha,fertilizer_use_kg_ha,irrigation_pct,avg_temp_weather,avg_min_temp,avg_max_temp,avg_precipitation,avg_rain,avg_transp,annual_gdd,annual_precip_total,daily_precip_sd,extreme_hot_days,extreme_cold_days,extreme_temp_days,daily_precip_cv,extreme_hot32_days,extreme_hot35_days
Mexico,MEX,2020,Central America,Upper middle income,Soybeans,2065176,8492829.24,4112.4,138.87,43.5,18.8077,11.6328,26.368,0.8721,0.8716,5.5003,3310.55,319.2,3.1615,72,3,75,3.625,12,0
Kenya,KEN,2016,Sub-Saharan Africa,Low income,Wheat,1734348,5118834.9,2951.45,32.8,11.5,23.3205,18.791,28.3863,1.5656,1.5656,4.6551,4973.45,573.0,3.5052,71,0,71,2.2389,10,0
China,CHN,2021,East Asia,Upper middle income,Wheat,2204154,11890204.49,5394.45,140.18,22.4,8.8304,3.4762,14.834,1.1789,1.0704,3.1058,1294.0,430.3,3.2601,12,142,154,2.7654,3,0
China,CHN,2020,East Asia,Upper middle income,Maize,3754490,38248346.29,10187.36,120.88,10.0,8.3407,3.3391,13.9224,1.6388,1.4833,2.9009,1117.9,599.8,4.4683,0,142,142,2.7266,0,0
Germany,DEU,2019,Europe,High income,Wheat,5146086,51767405.43,10059.57,216.98,37.8,10.3811,6.2493,14.4688,1.6584,1.5778,2.192,1185.55,605.3,2.8811,12,59,71,1.7373,6,2
Canada,CAN,2016,North America,High income,Wheat,5210491,35796517.85,6870.09,275.9,35.6,1.3724,-2.3391,5.2462,1.5822,1.1984,1.6897,718.25,579.1,4.0314,0,197,197,2.5479,0,0
United Kingdom,GBR,2016,Europe,High income,Wheat,2459504,16278218.9,6618.5,235.53,60.2,7.171,4.2533,10.0142,2.9956,2.6131,1.2479,344.9,1096.4,4.1288,0,80,80,1.3783,0,0
China,CHN,2015,East Asia,Upper middle income,Maize,3462171,20981218.81,6060.13,73.41,27.1,9.3619,4.1518,15.1707,1.3367,1.1216,3.185,1386.05,487.9,3.1958,9,133,142,2.3908,7,0
Philippines,PHL,2020,Southeast Asia,Lower middle income,Maize,4780547,39577401.5,8278.84,97.7,24.6,27.6497,26.5525,28.6342,8.459,8.459,4.2719,6439.15,3096.0,16.4682,40,0,40,1.9468,0,0
United Kingdom,GBR,2015,Europe,High income,Maize,1810518,29084348.85,16064.1,147.79,57.8,6.906,3.8164,9.8553,4.043,3.5326,1.2513,181.4,1475.7,5.3651,0,70,70,1.327,0,0
Japan,JPN,2022,East Asia,High income,Wheat,2792500,23882278.04,8552.29,174.49,38.0,9.6192,5.5833,14.56,3.9573,3.417,2.5288,1489.75,1444.4,7.2883,1,116,117,1.8417,0,0
Kenya,KEN,2019,Sub-Saharan Africa,Low income,Maize,1155513,8188348.91,7086.33,28.75,14.2,24.6378,20.2466,30.1515,4.2586,4.2586,4.802,5547.65,1554.4,10.9436,185,0,185,2.5697,76,3
Mali,MLI,2021,Sub-Saharan Africa,Low income,Wheat,3074298,11847392.79,3853.69,24.59,11.8,29.5942,22.8778,36.0674,0.026,0.026,8.4722,7107.5,9.5,0.2504,307,0,307,9.6206,276,226
Brazil,BRA,2019,South America,Upper middle income,Rice,1358147,11245861.8,8280.3,131.14,23.4,27.0477,22.0022,33.3236,2.011,2.011,4.6602,6446.95,734.0,4.2231,337,0,337,2.1,254,83
Egypt,EGY,2017,North Africa,Lower middle income,Maize,5407645,33028101.14,6107.67,105.17,27.9,21.9334,16.0438,27.7063,0.0036,0.0036,6.8658,4346.45,1.3,0.0428,158,0,158,12.0041,138,80
China,CHN,2022,East Asia,Upper middle income,Wheat,3151201,15846905.56,5028.85,146.57,36.1,9.2342,3.7841,15.4315,1.1975,1.0964,3.1404,1399.3,437.1,3.4377,21,129,150,2.8707,5,0
Turkey,TUR,2016,Middle East,Upper middle income,Wheat,936571,4792363.8,5116.93,90.12,31.6,10.7522,4.4495,17.0776,1.206,0.8956,3.4877,1554.3,441.4,3.0287,38,122,160,2.5113,20,3
Bangladesh,BGD,2022,South Asia,Lower middle income,Soybeans,2746344,8725515.69,3177.14,62.23,35.0,25.1153,21.1822,30.1238,4.6247,4.6247,3.749,5713.35,1688.0,9.9823,218,0,218,2.1585,128,15
Uganda,UGA,2015,Sub-Saharan Africa,Low income,Rice,2400209,10555121.47,4397.58,29.69,13.7,23.9616,19.5603,28.9584,2.7737,2.7737,4.4447,5204.65,1012.4,4.0714,109,0,109,1.4679,67,8
Philippines,PHL,2015,Southeast Asia,Lower middle income,Soybeans,643350,2157794.21,3354.0,70.46,31.3,27.2271,26.0589,28.3896,4.1211,4.1211,4.1482,6286.85,1504.2,8.1993,15,0,15,1.9896,0,0
India,IND,2022,South Asia,Lower middle income,Wheat,2588716,13874022.44,5359.42,76.28,23.5,27.2581,22.2389,33.0647,5.2178,5.2178,4.8618,6442.9,1904.5,13.4263,235,0,235,2.5732,142,98
France,FRA,2019,Europe,High income,Wheat,4860086,30889878.2,6355.83,232.22,32.0,11.6022,7.4745,16.0071,2.1586,2.0833,2.4644,1335.7,787.9,3.9542,16,40,56,1.8318,11,7
Kenya,KEN,2016,Sub-Saharan Africa,Low income,Rice,2020819,10262733.99,5078.5,28.92,10.8,23.3205,18.791,28.3863,1.5656,1.5656,4.6551,4973.45,573.0,3.5052,71,0,71,2.2389,10,0
Mali,MLI,2023,Sub-Saharan Africa,Low income,Rice,362264,1989810.52,5492.71,26.01,10.1,29.0827,22.5707,35.7184,0.0573,0.0573,8.2678,6987.75,20.9,0.3538,305,0,305,6.1781,285,229
Nepal,NPL,2023,South Asia,Low income,Soybeans,2272310,4972934.14,2188.49,32.93,15.3,13.3962,9.6562,17.0129,7.8151,7.8148,2.7538,1427.35,2852.5,16.7579,0,2,2,2.1443,0,0
China,CHN,2016,East Asia,Upper middle income,Maize,1859832,16251039.17,8737.91,136.19,36.4,9.5268,4.2421,15.424,1.1279,1.006,3.2354,1510.05,412.8,2.8941,30,130,160,2.566,10,0
Ukraine,UKR,2021,Europe,Lower middle income,Maize,1278815,11044551.58,,82.73,14.1,9.3896,5.3244,13.6633,2.0597,1.7351,2.2024,1376.35,751.8,4.0455,16,103,119,1.9641,4,0
Thailand,THA,2017,Southeast Asia,Upper middle income,Rice,1732843,13836427.5,7984.81,156.93,33.7,26.6688,23.286,30.774,5.6323,5.6323,3.9499,6215.95,2055.8,9.0535,226,0,226,1.6074,93,14
Mexico,MEX,2020,Central America,Upper middle income,Rice,2419805,19374847.95,8006.78,130.05,43.8,18.8077,11.6328,26.368,0.8721,0.8716,5.5003,3310.55,319.2,3.1615,72,3,75,3.625,12,0
Morocco,MAR,2021,North Africa,Lower middle income,Maize,4075563,32383156.47,,83.03,36.8,19.3414,12.6132,26.6419,1.0425,1.0425,4.5405,3551.75,380.5,3.3722,134,4,138,3.2348,103,63
France,FRA,2017,Europe,High income,Wheat,1054881,7842415.84,7434.41,217.48,42.8,10.9236,7.1507,15.1178,2.2408,2.1729,2.1893,1260.0,817.9,4.0935,13,46,59,1.8268,2,0
Philippines,PHL,2019,Southeast Asia,Lower middle income,Rice,3838104,21704407.46,5654.98,70.21,35.7,27.5375,26.6241,28.4255,4.1973,4.1973,4.4535,6396.55,1532.0,12.9429,24,0,24,3.0837,0,0
Japan,JPN,2023,East Asia,High income,Wheat,1372858,11837642.92,8622.63,196.41,,10.6688,6.3504,15.8964,4.2778,3.9477,2.7013,1604.15,1561.4,10.6839,2,103,105,2.4975,0,0
Japan,JPN,2015,East Asia,High income,Rice,5084638,47219519.7,9286.7,204.05,31.2,9.9759,5.8463,14.649,3.3241,2.8693,2.4101,1411.65,1213.3,6.1668,7,113,120,1.8552,0,0
Egypt,EGY,2017,North Africa,Lower middle income,Rice,4469825,26492661.53,5927.0,81.73,16.2,21.9334,16.0438,27.7063,0.0036,0.0036,6.8658,4346.45,1.3,0.0428,158,0,158,12.0041,138,80
Thailand,THA,2021,Southeast Asia,Upper middle income,Soybeans,2581385,,5568.57,140.99,42.3,26.5279,22.7701,31.0112,5.8847,5.8847,4.161,6165.1,2147.9,10.7999,252,0,252,1.8353,105,11
Nigeria,NGA,2021,Sub-Saharan Africa,Lower middle income,Rice,2540944,19723191.07,7762.15,63.38,26.9,25.7181,21.4647,30.8195,3.6299,3.6299,4.615,5891.85,1324.9,8.819,227,0,227,2.4296,128,33
Ukraine,UKR,2022,Europe,Lower middle income,Soybeans,5345024,22004890.46,4116.89,80.43,31.7,10.1562,6.0734,14.5263,1.6871,1.5068,2.4122,1455.0,615.8,3.6002,10,113,123,2.1339,2,0
Vietnam,VNM,2019,Southeast Asia,Lower middle income,Maize,954516,7901463.61,8277.98,81.92,25.9,22.0132,18.6753,26.866,4.5682,4.5682,3.8404,4661.3,1667.4,8.8294,38,0,38,1.9328,10,0
Nepal,NPL,2017,South Asia,Low income,Maize,775586,6082239.27,7842.12,32.3,8.4,13.6611,9.9079,17.1685,12.9249,12.9247,2.6576,1537.1,4717.6,21.6627,0,8,8,1.676,0,0
Japan,JPN,2023,East Asia,High income,Rice,1618116,19377554.03,11975.38,132.36,27.7,10.6688,6.3504,15.8964,4.2778,3.9477,2.7013,1604.15,1561.4,10.6839,2,103,105,2.4975,0,0
South Africa,ZAF,2023,Sub-Saharan Africa,Upper middle income,Maize,2673596,20374361.47,7620.58,57.19,34.9,18.006,10.5995,25.4342,0.7904,0.7904,5.8573,3044.4,288.5,3.6934,114,10,124,4.6728,92,42
Philippines,PHL,2018,Southeast Asia,Lower middle income,Soybeans,1992791,11134136.86,5587.21,71.8,25.9,27.4137,26.5112,28.2995,4.8764,4.8764,4.2724,6352.95,1779.9,8.9792,5,0,5,1.8413,0,0
Brazil,BRA,2021,South America,Upper middle income,Wheat,279923,1668767.1,5961.52,171.05,29.3,25.8055,21.0929,31.8836,3.9416,3.9416,4.2838,6018.2,1438.7,7.2771,295,0,295,1.8462,137,44
Tanzania,TZA,2020,Sub-Saharan Africa,Low income,Wheat,2416528,9333495.6,3862.36,28.41,11.7,22.0981,17.4839,27.3448,3.3847,3.3847,4.7167,4543.65,1238.8,6.8578,58,0,58,2.0261,8,0
Egypt,EGY,2020,North Africa,Lower middle income,Rice,1592331,9893953.83,6213.5,48.48,24.5,22.6407,16.5309,28.2888,0.0279,0.0279,6.8558,4546.1,10.2,0.461,178,0,178,16.5402,155,91
France,FRA,2019,Europe,High income,Soybeans,1814460,9791386.97,5396.31,224.21,19.0,11.6022,7.4745,16.0071,2.1586,2.0833,2.4644,1335.7,787.9,3.9542,16,40,56,1.8318,11,7
Canada,CAN,2017,North America,High income,Soybeans,1149376,6380751.59,5551.49,201.52,69.5,0.2151,-4.1775,4.5285,1.5712,1.0526,1.7344,694.75,573.5,4.3114,0,207,207,2.744,0,0
Turkey,TUR,2015,Middle East,Upper middle income,Maize,1469813,12336471.08,8393.22,136.04,17.1,10.5238,4.5436,16.7734,1.1907,0.9389,3.2766,1563.9,434.6,2.837,42,132,174,2.3826,18,1
Morocco,MAR,2020,North Africa,Lower middle income,Soybeans,758666,3646959.26,4807.07,88.95,35.0,19.7907,13.2331,27.0336,1.2604,1.2604,4.6356,3731.2,461.3,4.7176,136,0,136,3.743,114,72
Germany,DEU,2015,Europe,High income,Soybeans,3355730,20430048.62,6088.11,89.84,42.4,10.0792,6.1833,13.8205,1.531,1.3874,1.9605,1020.95,558.8,3.2237,13,67,80,2.1057,5,0
Nigeria,NGA,2019,Sub-Saharan Africa,Lower middle income,Wheat,1005641,5694103.06,5662.16,67.42,30.9,25.3452,21.4047,30.0764,5.2255,5.2255,4.0672,5745.3,1907.3,9.9603,187,0,187,1.9061,108,21
Indonesia,IDN,2016,Southeast Asia,Lower middle income,Soybeans,3435526,10720222.39,3120.4,86.28,24.9,25.9281,23.3202,30.1874,10.0153,10.0153,3.2961,6131.9,3665.6,11.5693,216,0,216,1.1552,41,0
Japan,JPN,2015,East Asia,High income,Maize,220026,2657690.02,12078.98,210.12,43.6,9.9759,5.8463,14.649,3.3241,2.8693,2.4101,1411.65,1213.3,6.1668,7,113,120,1.8552,0,0
Indonesia,IDN,2016,Southeast Asia,Lower middle income,Rice,1800097,12060556.9,6699.95,59.25,27.5,25.9281,23.3202,30.1874,10.0153,10.0153,3.2961,6131.9,3665.6,11.5693,216,0,216,1.1552,41,0
Canada,CAN,2023,North America,High income,Maize,1877042,26909324.11,14336.03,181.69,42.3,2.1496,-2.3748,6.6797,1.1868,0.8422,1.8926,870.65,433.2,3.155,0,190,190,2.6583,0,0
Morocco,MAR,2018,North Africa,Lower middle income,Maize,3283201,25412388.27,7740.13,52.05,18.1,17.5312,11.7263,24.1608,2.1616,2.1433,3.966,2965.6,789.0,5.7549,93,3,96,2.6623,73,33
Nepal,NPL,2023,South Asia,Low income,Rice,1525232,7729187.07,5067.55,34.99,7.5,13.3962,9.6562,17.0129,7.8151,7.8148,2.7538,1427.35,2852.5,16.7579,0,2,2,2.1443,0,0
Pakistan,PAK,2023,South Asia,Lower middle income,Maize,3436781,18612314.61,5415.62,92.94,32.1,19.9595,13.5285,26.3296,0.9258,0.9247,4.8623,3761.95,337.9,2.8803,136,19,155,3.1113,114,68
Ukraine,UKR,2015,Europe,Lower middle income,Soybeans,2091895,5900289.53,2820.55,69.19,23.1,10.5,6.5107,14.3948,1.2597,1.14,2.5424,1582.4,459.8,3.0289,24,94,118,2.4044,11,0
United Kingdom,GBR,2018,Europe,High income,Soybeans,2026206,11567226.69,5708.81,190.71,45.5,6.9362,4.0907,9.6351,5.0605,4.4992,1.2581,357.9,1847.1,7.2078,0,82,82,1.4243,0,0
Australia,AUS,2023,Oceania,High income,Soybeans,515584,2682526.1,5202.89,266.13,44.7,22.9315,16.0329,29.4416,0.9449,0.9449,6.7702,4652.4,344.9,4.9883,177,0,177,5.279,151,105
Brazil,BRA,2018,South America,Upper middle income,Rice,2656548,21431641.48,8067.48,116.52,32.1,26.2425,21.5504,32.1036,2.6715,2.6715,4.2857,6141.85,975.1,5.1964,298,0,298,1.9451,178,46
Pakistan,PAK,2022,South Asia,Lower middle income,Maize,761762,4556609.91,5981.67,92.24,25.3,20.3871,13.7688,26.6126,1.2882,1.2871,5.0556,3835.25,470.2,4.6201,153,16,169,3.5864,109,48
Vietnam,VNM,2016,Southeast Asia,Lower middle income,Wheat,2436269,13608648.75,5585.86,70.72,35.0,23.2623,20.2432,27.7574,4.6844,4.6844,3.6424,5124.1,1714.5,8.9984,71,0,71,1.9209,36,5
Pakistan,PAK,2020,South Asia,Lower middle income,Wheat,2546729,14462941.77,5679.03,101.64,20.9,19.1874,12.7705,25.282,1.2276,1.2251,4.7705,3585.0,449.3,3.8682,145,35,180,3.1511,108,50
Germany,DEU,2021,Europe,High income,Maize,1154737,15846526.11,13723.06,196.78,32.1,9.0014,5.3011,12.7901,1.8833,1.5951,1.8654,983.75,687.4,3.2874,3,86,89,1.7455,1,0
Indonesia,IDN,2019,Southeast Asia,Lower middle income,Rice,4454715,23465462.47,5267.56,84.57,22.5,25.8205,22.8696,30.2649,9.0178,9.0178,3.4647,6047.05,3291.5,9.5426,216,0,216,1.0582,41,0
India,IND,2018,South Asia,Lower middle income,Soybeans,4318210,9672553.41,2239.95,104.57,37.3,27.3666,22.2866,33.0649,3.0104,3.0104,4.8552,6451.65,1098.8,10.3204,253,0,253,3.4282,183,105
South Africa,ZAF,2015,Sub-Saharan Africa,Upper middle income,Maize,3854633,40647873.74,10545.2,126.35,31.1,19.194,11.7247,26.3444,0.5644,0.5644,6.1469,3390.5,206.0,2.3712,132,4,136,4.2014,102,48
Japan,JPN,2016,East Asia,High income,Soybeans,2812750,15587227.14,5541.63,180.85,,10.3746,6.221,15.0801,3.682,3.2645,2.4143,1527.9,1347.6,8.3071,0,119,119,2.2562,0,0
United Kingdom,GBR,2022,Europe,High income,Soybeans,4968877,27089610.22,5451.86,196.06,23.1,7.5838,4.8088,10.3282,5.3408,5.0652,1.2717,332.95,1949.4,7.7653,0,63,63,1.454,0,0
United States,USA,2017,North America,High income,Rice,74610,828909.6,11109.9,272.54,30.8,12.8419,7.6811,18.3195,1.6756,1.5973,3.5944,2194.4,611.6,4.8415,49,92,141,2.8894,35,10
UK,GBR,2018,Europe,High income,Maize,2203865,29805911.86,13524.38,226.38,32.4,6.9362,4.0907,9.6351,5.0605,4.4992,1.2581,357.9,1847.1,7.2078,0,82,82,1.4243,0,0
Kenya,KEN,2019,Sub-Saharan Africa,Low income,Rice,907295,4348297.94,,29.98,9.6,24.6378,20.2466,30.1515,4.2586,4.2586,4.802,5547.65,1554.4,10.9436,185,0,185,2.5697,76,3
Mexico,MEX,2017,Central America,Upper middle income,Rice,1970872,16755690.84,8501.66,,19.5,18.5619,11.566,26.0614,0.8589,0.8564,5.4098,3242.1,313.5,2.6801,55,3,58,3.1204,19,0
Canada,CAN,2019,North America,High income,Soybeans,1342461,8303812.61,6185.51,186.65,30.4,-1.1414,-5.3595,3.1381,1.3904,1.0907,1.5363,491.1,507.5,3.8477,0,215,215,2.7673,0,0
United States of America,USA,2019,North America,High income,Wheat,5220809,30032896.27,5752.54,189.07,54.9,11.2392,6.2805,16.6364,1.9748,1.6945,3.3188,2126.85,720.8,4.7946,58,131,189,2.4279,37,10
South Africa,ZAF,2023,Sub-Saharan Africa,Upper middle income,Wheat,4642381,26773762.68,5767.25,186.26,27.2,18.006,10.5995,25.4342,0.7904,0.7904,5.8573,3044.4,288.5,3.6934,114,10,124,4.6728,92,42
Tanzania,TZA,2018,Sub-Saharan Africa,Low income,Maize,1453907,4691164.66,3226.59,27.15,8.5,22.3904,17.4932,27.9408,2.1052,2.1052,5.0191,4641.7,768.4,4.6983,93,0,93,2.2318,26,0
Bangladesh,BGD,2023,South Asia,Lower middle income,Rice,2673936,18462399.01,6904.58,68.58,13.5,25.6899,21.5203,30.9107,5.0989,5.0989,3.8263,5918.65,1861.1,11.6131,239,0,239,2.2776,157,41
Egypt,EGY,2021,North Africa,Lower middle income,Rice,991632,7220131.98,7281.06,50.0,39.0,23.0304,16.6142,28.9663,0.0153,0.0153,7.2141,4673.3,5.6,0.2624,185,0,185,17.0999,153,111
Uganda,UGA,2019,Sub-Saharan Africa,Low income,Maize,1526213,10082539.24,6606.25,19.52,7.5,23.2178,18.8099,28.6893,3.9595,3.9595,4.2364,5018.6,1445.2,5.1764,104,0,104,1.3074,75,15
South Africa,ZAF,2016,Sub-Saharan Africa,Upper middle income,Wheat,3776181,26454519.68,7005.63,100.15,35.5,19.0156,11.7066,26.0956,0.7552,0.7527,6.0201,3320.25,276.4,3.2673,125,5,130,4.3264,99,50
Mexico,MEX,2016,Central America,Upper middle income,Soybeans,4664337,21023331.25,4507.25,139.55,32.8,17.6828,11.1079,24.6656,1.2344,1.2344,5.1018,2906.55,451.8,3.1471,22,4,26,2.5495,4,0
Kenya,KEN,2017,Sub-Saharan Africa,Low income,Wheat,1024793,3647316.89,3559.08,28.41,10.8,25.1364,20.5082,30.874,1.5129,1.5129,5.1802,5727.25,552.2,3.5291,234,0,234,2.3327,102,1
India,IND,2015,South Asia,Lower middle income,Rice,4394002,20778742.79,4728.89,87.55,17.0,27.5312,22.7526,32.677,3.2367,3.2367,4.762,6465.9,1181.4,11.9433,272,0,272,3.6899,159,78
Germany,DEU,2016,Europe,High income,Soybeans,359059,1677861.86,4672.94,147.9,,9.7787,6.1628,13.2514,1.5891,1.4923,1.8959,1128.85,581.6,2.8673,8,74,82,1.8044,1,0
Egypt,EGY,2015,North Africa,Lower middle income,Rice,249260,1466055.63,5881.63,73.69,,22.5808,15.6258,28.5677,0.0088,0.0088,6.9177,4438.5,3.2,0.1197,184,0,184,13.6487,161,95
United Kingdom,GBR,2019,Europe,High income,Rice,2646489,25877472.65,9778.04,174.49,36.6,7.0425,4.4058,9.6532,5.0866,4.7611,1.2081,311.25,1856.6,7.1116,0,64,64,1.3981,0,0
China,CHN,2023,East Asia,Upper middle income,Maize,1800453,15984384.27,8877.98,155.61,33.8,9.0775,3.4904,15.3403,1.0844,0.9438,3.1891,1369.0,395.8,2.8963,12,148,160,2.6709,1,0
India,IND,2016,South Asia,Lower middle income,Wheat,2916141,19114371.26,6554.68,62.53,33.5,27.5672,22.6811,32.8257,4.1104,4.1104,4.7738,6497.75,1504.4,11.303,225,0,225,2.7499,139,101
South Africa,ZAF,2022,Sub-Saharan Africa,Upper middle income,Rice,2754158,22217634.93,8066.94,149.37,26.4,17.9504,11.014,24.9934,0.9556,0.9556,5.4385,2999.4,348.8,2.9115,100,5,105,3.0467,64,17
South Korea,KOR,2022,East Asia,High income,Maize,401822,6712952.98,16706.29,250.49,23.1,10.637,6.6003,15.3658,2.8463,2.7219,2.6462,1801.55,1038.9,8.1763,8,112,120,2.8726,0,0
China,CHN,2021,East Asia,Upper middle income,Maize,1294245,13259988.43,10245.35,116.51,36.3,8.8304,3.4762,14.834,1.1789,1.0704,3.1058,1294.0,430.3,3.2601,12,142,154,2.7654,3,0
South Korea,KOR,2015,East Asia,High income,Soybeans,836726,4262870.66,5094.7,150.25,27.8,11.5688,7.737,15.9773,2.5822,2.5126,2.5228,1785.65,942.5,6.7092,10,100,110,2.5982,2,0
Vietnam,VNM,2020,Southeast Asia,Lower middle income,Rice,778092,4899928.97,6297.36,102.06,14.4,22.2336,18.729,27.2795,5.1279,5.1279,3.9207,4759.55,1876.8,12.3804,55,0,55,2.4143,21,1
Canada,CAN,2020,North America,High income,Soybeans,1429693,11647920.3,8147.15,175.91,52.5,-0.7978,-5.0721,3.4112,1.8019,1.306,1.4666,549.85,659.5,3.9761,0,216,216,2.2066,0,0
France,FRA,2018,Europe,High income,Maize,2125943,26353272.33,12396.04,240.6,,11.7852,7.6904,16.1036,2.2581,2.1367,2.3831,1444.8,824.2,3.796,11,40,51,1.6811,4,0
Canada,CAN,2018,North America,High income,Soybeans,2917566,13543227.42,4641.96,170.79,47.6,-1.1386,-5.2605,3.0296,1.3049,0.8825,1.6096,653.65,476.3,2.8811,3,222,225,2.2078,1,0
Vietnam,VNM,2022,Southeast Asia,Lower middle income,Rice,4008486,28053579.76,6998.55,101.91,11.1,21.6882,18.3756,26.6534,4.9222,4.9222,3.7016,4567.8,1796.6,8.7082,8,0,8,1.7692,1,0
Indonesia,IDN,2022,Southeast Asia,Lower middle income,Soybeans,1260095,3809164.89,,73.4,26.3,25.6751,22.5773,30.7822,15.1948,15.1948,3.6235,6088.1,5546.1,13.3066,272,0,272,0.8757,76,0
South Africa,ZAF,2019,Sub-Saharan Africa,Upper middle income,Maize,3146686,39940667.05,12692.93,143.89,28.4,19.3879,11.0753,26.8756,0.1668,0.1668,6.4828,3325.65,60.9,0.8713,136,10,146,5.2222,98,22
Australia,AUS,2020,Oceania,High income,Soybeans,1874567,10605305.12,5657.47,254.61,46.1,22.8631,15.4844,29.3839,0.459,0.459,6.9181,4554.8,168.0,2.5154,185,0,185,5.4799,161,102
Ethiopia,ETH,2023,Sub-Saharan Africa,Low income,Wheat,1034084,3110017.77,3007.51,27.39,5.5,23.0003,17.7863,28.9726,2.7405,2.7405,5.2186,4883.5,1000.3,5.9112,140,0,140,2.157,39,0
Bangladesh,BGD,2016,South Asia,Lower middle income,Soybeans,4602315,15061496.69,3272.59,96.0,36.5,25.7891,22.5257,29.8161,4.9317,4.9317,3.495,5918.55,1805.0,10.1781,212,0,212,2.0638,87,12
Japan,JPN,2019,East Asia,High income,Soybeans,4057973,22222852.49,5476.34,236.92,67.8,9.6575,5.6378,14.4304,4.6838,4.1885,2.4207,1413.65,1709.6,14.2166,0,127,127,3.0353,0,0
Argentina,ARG,2016,South America,Upper middle income,Soybeans,3139785,14909466.81,4748.56,91.99,45.9,15.4309,10.7276,20.5505,1.7497,1.7497,3.7409,2287.95,640.4,4.8424,50,6,56,2.7675,23,5
Brazil,BRA,2015,South America,Upper middle income,Soybeans,3640277,16725606.71,4594.6,105.71,44.5,27.5093,23.2474,32.2518,3.0518,3.0518,4.5568,6478.6,1113.9,5.0765,293,0,293,1.6634,170,67
Indonesia,IDN,2020,Southeast Asia,Lower middle income,Rice,60623,390154.5,,73.28,29.0,25.8281,23.1219,30.2279,12.582,12.582,3.3469,6103.0,4605.0,10.9023,228,0,228,0.8665,37,0
Tanzania,TZA,2021,Sub-Saharan Africa,Low income,Rice,2325074,11062862.54,4758.07,21.7,14.3,22.8233,17.4496,28.7036,1.4808,1.4808,5.4308,4772.95,540.5,3.8778,108,0,108,2.6187,33,0
Mali,MLI,2015,Sub-Saharan Africa,Low income,Rice,90673,306058.54,3375.41,29.6,6.8,28.2323,20.8216,35.2915,0.1463,0.1463,8.4531,6590.65,53.4,1.1402,269,0,269,7.7932,245,217
Indonesia,IDN,2017,Southeast Asia,Lower middle income,Rice,1810885,10496343.05,5796.25,75.13,22.8,25.6304,22.9997,29.9627,12.0337,12.0337,3.2431,6015.65,4392.3,10.4717,187,0,187,0.8702,32,0
Mexico,MEX,2017,Central America,Upper middle income,Soybeans,2202379,8967543.78,4071.75,118.84,15.7,18.5619,11.566,26.0614,0.8589,0.8564,5.4098,3242.1,313.5,2.6801,55,3,58,3.1204,19,0
